City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,vila franca do campo,37.7167,-25.4333,23.23,92,99,6.17,PT,1691608008
215,huarmey,-10.0681,-78.1522,22.84,66,97,5.45,PE,1691608008
216,mahanje,-9.9333,35.3333,17.11,59,80,1.03,TZ,1691608008
217,klyuchi,52.2667,79.1667,21.1,42,82,2.44,RU,1691608009
218,tindouf,27.6711,-8.1474,40.37,6,0,6.02,DZ,1691608009
219,ngaoundere,7.3167,13.5833,18.61,97,100,0.79,CM,1691608009
220,goure,13.9835,10.2704,30.52,49,66,4.47,NE,1691608009
221,masterton,-40.9597,175.6575,3.82,99,100,2.16,NZ,1691608009
222,harper,4.375,-7.7169,24.53,81,100,5.61,LR,1691608009
223,bardai,11.65,7.2333,23.61,85,100,3.62,NG,1691608010
224,margate,51.3813,1.3862,19.93,70,0,3.58,GB,1691608011
225,nuuk,64.1835,-51.7216,7.34,81,75,5.66,GL,1691608011
226,carauari,-4.8828,-66.8958,32.9,49,100,1.16,BR,1691607827
227,acapulco de juarez,16.8634,-99.8901,31.9,62,100,2.57,MX,1691607819
228,dongkan,33.9997,119.8308,22.9,86,1,3.07,CN,1691608011
229,remire-montjoly,4.9167,-52.2667,32.02,62,0,5.14,GF,1691608011
230,popondetta,-8.7537,148.2534,21.67,82,98,0.83,PG,1691608012
231,pundong,-7.9522,110.3486,20.93,88,100,2.38,ID,1691608012
232,east london,-33.0153,27.9116,17.5,77,79,7.98,ZA,1691608012
233,snovsk,51.8239,31.9428,16.79,59,65,1.66,UA,1691608012
234,colonia,50.9333,6.95,21.09,60,0,2.57,DE,1691607937
235,mount pearl,47.5166,-52.7813,15.41,82,100,3.13,CA,1691608012
236,carutapera,-1.195,-46.02,28.4,71,81,4.37,BR,1691608013
237,hancheng,32.5186,112.3522,24.62,86,31,2.3,CN,1691608013
238,alaghsas,17.0187,8.0168,32.76,41,11,1.57,NE,1691608013
239,kailua-kona,19.6406,-155.9956,29.04,69,20,4.12,US,1691608013
240,carbonear,47.7332,-53.2148,16.12,86,100,4.06,CA,1691607947
241,borzya,50.3833,116.5167,16.62,68,100,2.18,RU,1691608013
242,hithadhoo,-0.6,73.0833,27.06,76,71,1.73,MV,1691608014
243,bangassou,4.7413,22.8184,20.9,99,100,2.18,CF,1691608014
244,zagora,30.3484,-5.8365,39.21,9,3,4.41,MA,1691608014
245,saacow,1.6279,42.4407,25.29,64,69,8.6,SO,1691608014
246,caconda,-13.7333,15.0667,19.42,25,7,0.37,AO,1691608014
247,sabzevar,36.2126,57.6819,28.15,22,0,6.67,IR,1691608014
248,batken,39.8333,71.0,17.79,45,0,0.55,KG,1691608015
249,plastun,44.7561,136.2939,16.49,97,100,1.33,RU,1691608015
250,al mijlad,11.0333,27.7333,27.01,62,59,2.66,SD,1691608015
251,i-n-salah,27.1935,2.4607,39.3,9,0,8.95,DZ,1691608015
252,urengoy,65.9667,78.3667,8.66,93,100,7.0,RU,1691608015
253,gamba,-2.65,10.0,22.26,86,15,3.03,GA,1691608016
254,badger,64.8,-147.5333,18.62,89,100,0.0,US,1691608016
255,dolores,-36.3132,-57.6792,15.81,67,100,4.73,AR,1691608016
256,fort mcmurray,56.7268,-111.381,21.87,41,96,4.43,CA,1691608016
257,sao tome,0.3365,6.7273,24.51,81,59,4.01,ST,1691608016
258,el porvenir,13.7617,-87.3458,32.63,33,92,2.1,HN,1691608016
259,saint-joseph,-21.3667,55.6167,19.21,78,24,3.56,RE,1691608017
260,sitka,57.0531,-135.33,13.94,94,100,1.54,US,1691607950
261,peterborough,52.5736,-0.2478,24.43,56,20,2.06,GB,1691607947
262,kiunga,-6.1219,141.2906,22.11,90,100,1.66,PG,1691608017
263,belel,7.05,14.4333,15.83,97,99,0.78,CM,1691608017
264,portland,45.5234,-122.6762,27.22,52,75,2.57,US,1691607803
265,kerikeri,-35.2268,173.9474,6.73,92,2,1.87,NZ,1691608017
266,axim,4.8699,-2.2405,24.36,84,87,5.29,GH,1691608017
267,tubarjal,30.4999,38.216,33.47,21,0,4.15,SA,1691608018
268,chonchi,-42.6128,-73.8092,10.62,92,100,4.91,CL,1691608018
269,constantia,44.1833,28.65,19.38,62,0,4.67,RO,1691607845
270,illizi,26.4833,8.4667,33.8,12,0,5.45,DZ,1691608018
271,plouzane,48.3833,-4.6167,23.1,73,0,2.57,FR,1691608018
272,al bawiti,28.3492,28.8659,29.58,30,0,2.56,EG,1691608018
273,usakos,-22.0,15.6,23.21,30,33,5.35,NA,1691608019
274,idri,27.5,13.2667,30.48,17,0,5.38,LY,1691607979
275,alor setar,6.121,100.3601,25.63,88,96,1.47,MY,1691608019
276,igarka,67.4667,86.5833,13.59,96,97,3.48,RU,1691608019
277,mil'kovo,55.6078,37.7956,21.73,74,0,3.3,RU,1691608019
278,barda,40.3744,47.1267,29.6,39,0,3.4,AZ,1691608019
279,campo verde,-20.4167,-54.0667,34.93,21,0,3.92,BR,1691608020
280,newman,37.3138,-121.0208,30.59,23,0,1.86,US,1691608020
281,kenai,60.5544,-151.2583,13.41,94,100,2.57,US,1691607816
282,shelui,-4.3667,34.2,26.26,35,99,3.7,TZ,1691608020
283,san antonio de pale,-1.4014,5.6325,23.8,80,100,4.83,GQ,1691608020
284,harrisburg,40.2737,-76.8844,31.08,51,40,4.63,US,1691607919
285,haiku-pauwela,20.9219,-156.3051,26.01,70,20,8.23,US,1691608021
286,taboao da serra,-23.6261,-46.7917,21.77,93,75,6.17,BR,1691608021
287,aldan,58.6031,125.3894,14.74,71,96,3.35,RU,1691607897
288,sucre,-19.0333,-65.2627,20.86,32,0,4.55,BO,1691608021
289,papao,-17.75,-149.55,26.82,72,100,7.31,PF,1691608022
290,hengchun,22.0042,120.7439,27.84,86,97,7.2,TW,1691608022
291,hobbs,32.7026,-103.136,36.7,17,0,4.92,US,1691607737
292,saint-philippe,-21.3585,55.7679,19.77,79,35,4.87,RE,1691608022
293,heihe,50.2441,127.4902,18.32,95,100,3.5,CN,1691608022
